Growth over next 10 years,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"Micronesia, Fed. Sts.",0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.047430932,0.238355193,0.429643801,0.621297453,0.813316845,1.005702675,1.198455641,1.391576446,1.58506579,1.778924377,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.973152912,1.896160453,1.772179909,4.588515993,5.851879996,5.540652812,5.167241677,4.936637611,4.977305291,4.639539195,3.310926887,3.79908024,3.106078005,0.021655433,-2.059850692,-0.72315084,-0.050447374,-0.056394585,0.076000048,0.047479212,1.310993519,1.181512063,1.921076499,2.584451156,3.048571944,2.317023407,1.395041864,0.777602109,0.726906102,1.062305564,1.374842761,1.10561473,1.050261223,0.707143264,0.656438073,0.360046672,0.783337911,1.277015587,0.753412358,0.721271993,0.523682608,0.548193459
Moldova,0.000604326,0.000604326,0.000604326,0.000604326,0.000604326,0.000604326,0.000604326,0.000604326,0.000604326,0.000604326,0.000604326,0.053323393,0.106070252,0.158844918,0.211647407,0.264477732,0.317335909,0.370221952,0.423135876,0.476077696,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.529047425,0.070690544,1.583981793,1.126954743,0.330719834,0.22606726,-0.71239287,0.127153468,1.323452324,2.567724328,1.711078816,3.10330818,1.332116413,1.993199091,3.349250572,3.167569441,4.333786395,4.256555047,2.227148956,1.944032352,1.491626295,0.062402516,-0.16748981,0.451719379,0.232760006,1.104657214,0.060598078,0.003357087,1.21861004,-0.256057433,1.259496569,0.529850067,-0.372590473,-5.97542352,-7.706941196,-8.266859024,-8.352319849,-7.692690556,-6.839250273,-4.168093024,-2.289663406,0.017619297,1.741734009,7.398044632,9.129323349,9.567955335,10.64142838,8.834585371,7.704182281,6.113814663,5.174711624,4.650030173,5.057332988,4.500601779,4.795066935,3.890507772,3.600411235,3.565258739,2.988300333,1.894797651,0.34832976,-0.498515718,-0.243070473,1.010225767,1.501313063,2.751657263,2.816769461,3.482118129,3.943403153,4.459460084,5.333884078,6.314710581,5.22851269,4.523093591,3.30505586,3.229632248,3.763354015,3.408745135,2.762825015,3.570358455,3.358875202,2.980636714,3.300382207,3.231059508,3.58819755,3.518066573,3.295592083,3.144934562,4.279026207,3.363473512,2.857891534,2.869236471,2.686413915,2.37424105,2.198993488,1.474001796,1.322028352,1.533243992,1.04980284,0.890247872,0.956788661,0.904818308,0.803974325,0.773266213,1.005352512,0.762286638,-1.238270841,-4.765043511,-5.127651946,-8.612423739,-8.738355541,-9.563042538,-9.445255557,-10.16136924,-10.55665291,-10.09394417,-7.743044762,-3.770828149,-3.049645683,1.313579139,2.164044049,3.277909818,3.424194386,4.917181178,4.637620345,5.146443363,5.227429145
Monaco,0.165947699,0.165947699,0.165947699,0.165947699,0.165947699,0.165947699,0.165947699,0.165947699,0.165947699,0.165947699,0.165947699,0.26629104,0.366734902,0.467279386,0.567924592,0.668670622,0.769517576,0.870465556,0.971514663,1.072664997,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.343849776,1.514068312,1.684572749,1.855363568,2.02644125,2.197806277,2.36945913,2.541400294,2.713630252,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,2.886149491,3.037505857,3.126435378,3.409259263,3.492052372,3.032484723,3.131596722,3.150833856,3.215353323,3.238683079,3.072571884,2.672353006,2.483962332,1.976891782,1.697961533,1.977921716,1.779449961,1.665011969,1.713368484,1.76038372,1.843383453,1.845402395,1.733966055,1.520657473,1.598801541,1.648907794,1.53321128,1.531355529,1.448713281,1.382738214,1.519484874,1.605931118,1.568028939,1.760563358,1.771228073,1.714185192,2.209966549,3.395204356,3.096977788,1.531425791,1.392564008,1.426146165
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0.015367994,0.030738349,0.046111067,0.061486147,0.07686359,0.092243397,0.107625566,0.1230101,0.138396998,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.153786261,0.411356247,0.720542019,0.994864542,1.287305827,1.565683243,1.847367894,2.150813504,2.4286451,2.719932411,3.006737498,3.027808568,2.992922576,3.014161679,3.002299248,3.007347956,3.002613484,2.995791209,3.002182562,2.992001891,3.002304179,3.010422631,3.015157808,3.000990005,3.005680148,3.002344816,2.998504566,2.998842908,3.001728665,3.009685797,2.997158709,3.231132483,3.4746619,3.470356262,3.474179919,3.460589577,3.809254722,3.562316224,3.488534526,3.173836832,2.340740276,0.586475807,-1.131599649,-1.867591681,-2.058748094,-1.831221255,-2.293684475,-2.041482862,-1.977616848,-1.717150959,-1.166111148,0.244629134,1.831649011,2.89937554,3.735019115,3.834899208,4.410262404,4.943327051,5.358410576,4.755991598,5.18852193,6.547875732
Montenegro,0.103857756,0.103857756,0.103857756,0.103857756,0.103857756,0.103857756,0.103857756,0.103857756,0.103857756,0.103857756,0.103857756,0.08615552,0.068456413,0.050760436,0.033067589,0.015377871,-0.00230872,-0.019992182,-0.037672518,-0.055349727,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,-0.073023809,0.105177455,0.283696509,0.462533918,0.64169025,0.821166075,1.000961962,1.181078481,1.361516205,1.542275706,1.723357558,1.723357558,1.723357558,1.723357558,1.723357558,1.723357558,1.723357558,1.723357558,1.723357558,1.723357558,1.723357558,1.618377014,1.513504811,1.408740839,1.304084985,1.199537139,1.095097188,0.99076502,0.886540526,0.782423594,0.678414112,0.769960411,0.861589952,0.953302811,1.045099064,1.136978787,1.228942056,1.320988946,1.413119534,1.505333896,1.597632108,1.436814954,1.276252355,1.115943907,0.920280361,0.724995433,0.530088388,0.335558497,0.14140503,-0.052372743,-0.245775548,-0.147912435,-0.001968066,0.363597052,0.953768209,1.330633409,1.907433981,1.631503879,2.382595211,2.801201515,2.487479768,1.929935223,0.652434305,0.454384833,0.12975452,-0.496399926,0.05299637,0.386602386,0.316537929,0.343623679,0.5973206,0.959146997,2.001105827,1.739955921,1.419212078,1.62384494,0.440407082,0.325094651,1.332770547,1.744775402,1.034036821,1.382224896,0.52232133,1.886055478,2.397780584,2.988240419,2.756298514,4.353456436,2.994723562,3.262554799,4.622599767,4.711726484,5.792894632,5.406389613,5.837607938,5.5016766,6.287846341,4.841085531,4.636244696,4.548322564,4.416525454,5.11075994,5.280418909,4.599607834,4.91726707,4.647929158,4.419584487,4.970134531,5.312464042,4.889763575,4.909645864,3.982906603,3.733777923,3.510977854,2.553943239,2.673303647,2.818278505,2.030587475,1.383746791,0.625825714,-0.581395401,-1.910465673,-4.605965965,-8.978666389,-9.146352331,-8.09696975,-6.338139982,-5.784603748,-5.361388101,-6.130975014,-5.113673451,-3.745630953,-0.656080633,4.6058926,5.304858152,4.702257802,3.207998912,3.589471829,3.983714231,4.357499617,4.269302933,4.807938193
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0.065882592,0.131808589,0.19777802,0.263790914,0.329847298,0.395947202,0.462090655,0.528277684,0.594508319,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.882740665,1.10518816,1.328126155,1.55155573,1.77547797,1.999893961,2.224804791,2.450211552,2.676115337,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.902517243,2.844861279,2.706691569,2.631997637,2.698577596,2.862985976,2.391480609,1.920744801,2.208784084,3.042036865,3.772380249,3.901285614,4.261333236,3.862204012,3.80201871,4.068108948,4.682216247,5.423757108,5.947390059,5.678897938,6.095673153,3.24011022,2.907035311,3.298637544,3.25496261,2.192254686,0.252601588,-1.141690558,-1.518030505,-1.505464262,-1.814258406,0.505522382,0.857384103,-0.29474727,-0.587355433,-0.715353423,0.615067872,1.790161139,1.368575943,0.508732885,-1.016745699,-0.898495178
Morocco,-0.000748137,-0.000748137,-0.000748137,-0.000748137,-0.000748137,-0.000748137,-0.000748137,-0.000748137,-0.000748137,-0.000748137,-0.000748137,0.053297,0.107371345,0.161474916,0.215607727,0.269769794,0.323961134,0.378181762,0.432431693,0.486710944,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541019531,0.541077795,0.541136059,0.541194323,0.541252588,0.541310852,0.541369116,0.54142738,0.541485645,0.541543909,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.541602174,0.682340505,0.823275843,0.964408462,1.105738639,1.24726665,1.388992772,1.530917283,1.67304046,1.815362581,1.957883925,1.957883925,1.957883925,1.957883925,1.957883925,1.957883925,1.957883925,1.957883925,1.957883925,1.957883925,1.957883925,1.957883925,1.957883925,1.957883925,1.957883925,1.957883925,1.957883925,1.957883925,1.957883925,1.957883925,1.957883925,1.957883925,1.957883925,1.957883925,1.957883925,1.957883925,1.957883925,1.957883925,1.778948298,1.594008833,1.457555797,1.314650148,1.16545833,0.750595866,0.335030265,-0.079324515,-0.494242027,-0.906409301,-0.829907955,-0.74634774,-0.710731229,-0.66848636,-0.618199085,-0.105797363,0.412726782,0.933100705,1.455634655,1.978257444,2.181419065,2.110673348,2.166679374,2.404826538,2.764297157,3.329050128,3.314209396,3.102909302,3.060863329,3.464999217,2.684433505,3.423298876,2.935470418,2.747566475,2.644294894,2.289444058,1.514179122,2.164239453,1.893653082,1.340935438,2.263792444,0.873000599,0.883247295,1.528152703,0.286270831,0.744946531,0.795082872,0.632658772,0.452350887,0.235077375,0.230188394,1.006255127,1.755083793,1.309752867,2.288738106,1.96392794,2.562033286,2.424706136,2.988075308,3.326338974,3.267250746
Mozambique,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.043266522,0.231745594,0.422190445,0.595029116,0.653821852,1.076546959,0.938231928,0.965816377,1.234934683,1.561179793,1.591847986,1.473369616,1.73905149,0.975139859,1.124480755,0.708779225,0.940042846,1.349353179,1.921109225,2.498698788,2.760942357,3.105091925,2.675734676,3.550872001,2.239769912,0.383436384,-0.521460198,-1.198152246,-2.237486166,-3.265958244,-3.500111603,-3.926182494,-4.400594827,-5.504489684,-4.867503793,-4.132702981,-3.271498383,-2.502238018,-1.448656381,-0.859212843,-0.904090201,-0.602518479,-1.169905243,0.172333332,0.531164635,1.382043096,1.676245181,1.937354982,2.037036794,2.1058666,2.047225701,2.815051645,4.426198541,4.557724743,5.180236437,5.873563443,6.148377086,5.83306331,5.32062159,5.235106624,5.806505733,5.265573622
Myanmar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105545499,0.211202397,0.31697081,0.422850858,0.528842657,0.634946326,0.741161982,0.847489744,0.95392973,1.060482059,1.060482059,1.060482059,1.060482059,1.060482059,1.060482059,1.060482059,1.060482059,1.060482059,1.060482059,1.060482059,1.060482059,1.060482059,1.060482059,1.060482059,1.060482059,1.060482059,1.060482059,1.060482059,1.060482059,1.060482059,1.060482059,0.530239563,0.002779134,-0.521913825,-1.043853832,-1.563055334,-1.532145435,-1.50122583,-1.470296516,-1.43935749,-1.408408749,-0.369211544,0.643579649,1.685350265,2.73790434,3.801353497,3.357331703,2.915209263,2.474978049,2.036629974,1.600156981,1.237061625,0.912709482,0.57091395,0.230276094,-0.109208008,0.390409991,0.8925269,1.397155219,1.904307508,2.413996391,1.987429791,1.562639891,1.139619293,0.718360626,0.298856552,-0.532751374,-1.357464189,-2.071255347,-2.779881413,-3.483379762,-4.971231159,-6.436146591,-7.878479629,-7.718303692,-7.51220506,-6.861488368,-6.206193425,-5.646678293,-5.083825444,-3.431693247,-1.711981101,0.080281146,0.990405435,2.047515588,2.462961943,2.807854513,2.278370861,3.513375205,3.599659806,2.427778032,3.042437625,3.039111647,3.86004744,2.828378827,1.711824733,1.386260118,2.292117657,1.212434431,1.305302923,1.365738296,0.575541203,0.244789346,0.572870057,0.73287402,1.771111611,2.093951036,2.12761834,2.20670004,2.585777261,2.831780158,3.306788138,3.781307183,3.741330503,3.60174055,2.879487233,1.871026016,0.01655475,-0.049518274,-0.524987715,-1.080050416,-1.177153705,-1.268640466,-1.384937987,-1.325526554,-0.903151678,-0.203338568,1.288869249,1.336824093,1.547604063,2.034252955,2.099680643,2.322544682,2.48276717,2.273951596,3.184930695,4.021066154,4.047859151,4.078125029,4.046725577,4.094580054
Nagorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,0,0,0,0,0,0,0,0,0,0,0,0.147848882,0.295916357,0.444202748,0.592708378,0.741433573,0.890378656,1.039543953,1.188929789,1.33853649,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.488364384,1.413227461,1.336110811,1.330341162,1.492551585,1.423413172,1.398775588,1.382011509,1.25823277,1.424274207,1.935167761,1.714708765,2.730790578,3.3038371,4.280901727,4.60876138,4.602453176,3.765292039,3.553863853,3.313940801,2.416319572,2.540521691,1.673496218,1.009107424,-0.176393195,-0.835098744,-0.790037287,0.216119694,0.826225612,0.868498996,1.267968312,1.445143671,1.128855406,0.50603325,0.004274541,0.023075079,-0.132213143,-0.481754948,-1.095492225,-0.959547528,-1.807229293,-1.68847084,-0.963020834,-0.8668994,-0.055298546,0.338427244,0.366341489,0.54364654,0.83659284,0.705109312,1.482419136,1.205344021,0.682513215,1.404280794,1.559822177,1.749144705,2.229317371,2.415956709,2.466635806,2.036308898,2.520215434,2.919973577
